Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
ACTL6B	"ACTL6, BAF53B, SMARCN2"	ENSG00000077080	"Actin like 6B"	O94805	7	100643097-100656448	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Neurogenesis, Transcription, Transcription regulation"	"Chromatin regulator"	"Disease variant, Epilepsy, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	8	"brain: 52.2;pituitary gland: 14.9"	"Group enriched"	"Detected in some"	4	"Cone photoreceptor cells: 11.9;Excitatory neurons: 21.3;Horizontal cells: 12.0;Inhibitory neurons: 18.2"	"Low cell type specificity"	"Detected in many"			"Group enriched"	"Detected in some"	7	"Glioblastoma Multiforme (TCGA): 9.4;Pancreatic Adenocarcinoma (TCGA): 2.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"lung cancer: 7.5;Neuroblastoma: 27.1"	"Adrenal gland - Adrenal medulla cells, Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Pancreas - Beta cells, Thyroid gland - Parafollicular cells"	"Low region specificity"	"Detected in all"							HPA045126	Uncertain		Approved	"Nucleoli rim,Mitotic chromosome"			Yes	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"	28	"Nucleoli rim"	"Mitotic chromosome"	"HPA045126: AB_10961265"							"unprognostic (5.10e-2)"	"unprognostic (3.08e-3)"														"unprognostic (3.21e-3)"									
ACVR1C	"ACVRLK7, ALK7"	ENSG00000123612	"Activin A receptor type 1C"	Q8NER5	2	157526767-157628864	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	Apoptosis	"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"adipose tissue: 30.2"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 25.3;Leydig cells: 34.1;Oligodendrocytes: 51.9"	"Cell type enhanced"	"Detected in many"		"bergmann glia: 116.8;hippocampal CA4: 120.1;hippocampal dentate gyrus: 160.4"	"Cancer enhanced"	"Detected in some"		"Kidney Chromophobe (TCGA): 3.0"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Gallbladder cancer: 6.3"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Minor Salivary Gland - Minor salivary glandular cells, Pituitary gland - Somatotropes"	"Low region specificity"	"Detected in all"			"Region enhanced"	"Detected in many"		"basal ganglia: 38.9"	"HPA007982, HPA011933"	Uncertain				"Intracellular and membrane"	Receptor	NA	NA				"Cluster 7: Adipose tissue - Mixed function"	"Cluster 33: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 16: Intestinal goblet cells - Mucin production"				"HPA007982: AB_1078134, HPA011933: AB_1844754"			"unprognostic (4.57e-2)"		"unprognostic (3.48e-1)"	"unprognostic (1.44e-2)"		"unprognostic (1.47e-1)"	"unprognostic (1.14e-1)"	"unprognostic (1.94e-1)"								"unprognostic (2.15e-2)"	"unprognostic (1.08e-1)"				"unprognostic (2.11e-3)"		"unprognostic (7.06e-3)"	"unprognostic (3.36e-2)"		"unprognostic (8.70e-2)"			
ADAD2	"FLJ00337, TENRL"	ENSG00000140955	"Adenosine deaminase domain containing 2"	Q8NCV1	16	84191138-84197168	"Predicted intracellular proteins"	"Differentiation, Spermatogenesis"	RNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	17	"testis: 62.9"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 88.3;Late spermatids: 27.6;Oocytes: 49.3;Spermatocytes: 98.7;Spermatogonia: 29.3"	"Cell type enhanced"	"Detected in some"		"endothelial cell: 3.3;hippocampal dentate gyrus: 2.8"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in many"		"hippocampal formation: 5.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Spleen - Fibroblast_2, Testis - Early spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA079443	Enhanced						NA	NA				"Cluster 44: Testis - Spermatogenesis"	"Cluster 29: Forebrain - Mixed function"	"Cluster 70: DU4475 - Unknown function"	"Cluster 31: Spermatocytes - Spermatogenesis"				"HPA079443: "																															
ADAMTS14		ENSG00000138316	"ADAM metallopeptidase with thrombospondin type 1 motif 14"	Q8WXS8	10	70672506-70762441	"Cancer-related genes, Plasma proteins, Predicted secreted proteins"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"gallbladder: 6.5;placenta: 7.3"	"Group enriched"	"Detected in some"	10	"Oligodendrocytes: 41.7;Paneth cells: 17.7"	"Group enriched"	"Detected in some"	7	"committed oligodendrocyte precursor: 24.1;oligodendrocyte: 24.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Minor Salivary Gland - Mitotic cells (Minor salivary gland)"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA079400			Approved	"Golgi apparatus,Vesicles"	"Secreted to extracellular matrix"	Enzyme	NA	NA				"Cluster 34: Non-specific - Mixed function"	"Cluster 11: White matter - Signal transduction"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 51: Oligodendrocytes - Unknown function"		"Golgi apparatus, Vesicles"		"HPA079400: "	"unprognostic (9.45e-2)"	"unprognostic (1.27e-1)"	"unprognostic (1.45e-1)"	"unprognostic (1.66e-2)"	"unprognostic (1.76e-2)"	"unprognostic (1.06e-1)"	"unprognostic (7.77e-3)"	"unprognostic (1.34e-1)"	"unprognostic (2.28e-1)"			"unprognostic (1.15e-3)"	"unprognostic (1.34e-1)"		"unprognostic (2.34e-1)"	"unprognostic (1.09e-1)"	"potential prognostic unfavorable (1.63e-4)"	"unprognostic (1.90e-1)"	"unprognostic (2.36e-1)"	"unprognostic (1.35e-2)"	"unprognostic (2.30e-1)"	"unprognostic (2.38e-2)"	"unprognostic (8.62e-2)"		"unprognostic (9.55e-2)"	"unprognostic (7.42e-2)"		"unprognostic (5.74e-2)"	"unprognostic (7.55e-2)"	"unprognostic (9.17e-2)"	"potential prognostic unfavorable (7.77e-4)"
ADAMTS18	ADAMTS21	ENSG00000140873	"ADAM metallopeptidase with thrombospondin type 1 motif 18"	Q8TE60	16	77247813-77435034	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"brain: 14.3;placenta: 19.9"	"Cell type enhanced"	"Detected in some"		"Adipocytes: 35.8;Muller glia cells: 10.3;Oligodendrocytes: 15.6;Oocytes: 15.4;Rod photoreceptor cells: 8.3;Serous glandular cells: 8.3"	"Cell type enhanced"	"Detected in many"		"oligodendrocyte: 164.1;upper rhombic lip: 304.2"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	6	"liver cancer: 2.6;testis cancer: 9.8"	"Adipose visceral - Endothelial cells, Breast - Endothelial cells"	"Region enriched"	"Detected in single"	5	"cerebellum: 3.3"	"Low region specificity"	"Detected in all"			HPA044326	Uncertain		Approved	"Midbody,Mitotic spindle"	"Secreted to extracellular matrix"	Enzyme	Yes	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 25: Non-specific - Transcription"	"Cluster 70: DU4475 - Unknown function"	"Cluster 50: Connective tissue cells - ECM organization"		"Midbody, Mitotic spindle"		"HPA044326: AB_10961006"			"unprognostic (1.43e-1)"					"unprognostic (2.24e-1)"		"unprognostic (4.82e-2)"																			"unprognostic (6.05e-2)"		"unprognostic (1.03e-1)"
ADARB2	"ADAR3, hRED2, RED2"	ENSG00000185736	"Adenosine deaminase RNA specific B2 (inactive)"	Q9NS39	10	1177313-1737525	"Predicted intracellular proteins"	"mRNA processing"	"Hydrolase, RNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	8	"brain: 31.9"	"Group enriched"	"Detected in many"	4	"Inhibitory neurons: 1645.9;Oligodendrocyte precursor cells: 650.9"	"Cell type enhanced"	"Detected in all"		"CGE interneuron: 6682.1;mammillary body: 4248.6"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	4	"neutrophil: 4.7"	"Lineage enriched"	"Detected in many"	4	"granulocytes: 4.7"	"Cancer enhanced"	"Detected in some"		"cervical cancer: 2.6"	"Pituitary gland - Thyrotropes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 13: Oligodendrocytes - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 69: Neurons - Neuronal signaling"							"unprognostic (4.41e-2)"				"unprognostic (3.62e-1)"	"unprognostic (9.79e-2)"																"unprognostic (2.82e-1)"							
ADCY10	"HCA2, RP1-313L4.2, SAC, SACI, Sacy"	ENSG00000143199	"Adenylate cyclase 10"	Q96PN6	1	167809386-167914215	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"cAMP biosynthesis"	Lyase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	7	"liver: 5.9;testis: 17.1"	"Group enriched"	"Detected in some"	8	"Early spermatids: 90.7;Late spermatids: 87.0"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in single"	6	"Liver Hepatocellular Carcinoma (TCGA): 3.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"HPA015243, HPA017749"	Approved						NA	NA				"Cluster 42: Testis - Spermatogenesis"	"Cluster 37: Neurons - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 11: Late spermatids - Unknown function"				"HPA015243: AB_1856540, HPA017749: AB_1856541"			"unprognostic (3.90e-2)"											"unprognostic (2.23e-2)"	"unprognostic (2.71e-3)"																
ADCY8	"AC8, ADCY3, HBAC1"	ENSG00000155897	"Adenylate cyclase 8"	P40145	8	130780301-131040909	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"cAMP biosynthesis"	Lyase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"brain: 8.1;epididymis: 22.3"	"Group enriched"	"Detected in some"	5	"Astrocytes: 144.0;Inhibitory neurons: 241.0;Oligodendrocyte precursor cells: 130.2"	"Cell type enhanced"	"Detected in all"		"astrocyte: 652.9"	"Cancer enriched"	"Detected in some"	4	"Glioblastoma Multiforme (TCGA): 14.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Brain cancer: 2.2;Rhabdoid: 1.1"	"Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary glandular cells, Skin - Eccrine sweat gland cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB018652, HPA024291"	Supported		Approved	"Nucleoplasm,Plasma membrane,Cytosol"			NA	NA				"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 8: Neurons - Neuronal signaling"	1	"Plasma membrane, Cytosol"	Nucleoplasm	"CAB018652: AB_633654, HPA024291: AB_1844597"							"unprognostic (1.28e-1)"	"unprognostic (1.91e-1)"			"potential prognostic favorable (7.23e-4)"	"unprognostic (3.06e-2)"						"unprognostic (1.76e-1)"	"unprognostic (1.23e-1)"	"unprognostic (8.51e-2)"	"unprognostic (2.01e-1)"								"unprognostic (3.52e-2)"	"unprognostic (9.63e-2)"	
ADGB	"C6orf103, CAPN16, dJ408K24.1, FLJ23121"	ENSG00000118492	Androglobin	Q8N7X0	6	146598967-146815462	"Enzymes, Predicted intracellular proteins"	"Differentiation, Spermatogenesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"choroid plexus: 4.8;fallopian tube: 7.3;testis: 25.4"	"Cell type enriched"	"Detected in some"	4	"Early spermatids: 367.7"	"Cell type enriched"	"Detected in many"	5	"ependymal cell: 1392.5"	"Cancer enhanced"	"Detected in single"		"Uterine Corpus Endometrial Carcinoma (TCGA): 1.4"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA036340	Enhanced		Approved	"Mid piece"			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 42: Ciliated cells - Cilium assembly"		"Mid piece"		"HPA036340: AB_2675071"																															"unprognostic (1.47e-1)"
ADGRA1	"GPR123, KIAA1828"	ENSG00000197177	"Adhesion G protein-coupled receptor A1"	Q86SQ6	10	133087924-133131675	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"brain: 26.9"	"Group enriched"	"Detected in some"	8	"Excitatory neurons: 24.4;Horizontal cells: 23.9;Inhibitory neurons: 23.6;Oligodendrocyte precursor cells: 27.4"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in some"	4	"Glioblastoma Multiforme (TCGA): 8.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"Bone cancer: 6.5"	"Adrenal gland - Adrenal medulla cells, Colon - Colon enteroendocrine cells, Lung - Respiratory ciliated cells, Minor Salivary Gland - Minor salivary gland ductal cells, Pancreas - Alpha cells, Pancreas - Beta cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA042773	Approved						NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 69: Neurons - Neuronal signaling"				"HPA042773: AB_10794764"							"unprognostic (2.16e-1)"	"potential prognostic favorable (1.12e-4)"		"unprognostic (9.86e-2)"																					
AGBL1	"CCP4, FLJ32310"	ENSG00000273540	"AGBL carboxypeptidase 1"	Q96MI9	15	86079871-87049169	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Corneal dystrophy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	8	"skeletal muscle: 7.6;tongue: 22.3"	"Cell type enhanced"	"Detected in some"		"Alveolar cells type 2: 11.1;Astrocytes: 27.2;Excitatory neurons: 15.1;Inhibitory neurons: 24.7;Oligodendrocyte precursor cells: 44.3;Oocytes: 20.6;Skeletal myocytes: 45.9"	"Cell type enriched"	"Detected in all"	6	"ependymal cell: 1756.3"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Lung - Alveolar cells type 2, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Region enriched"	"Detected in some"	6	"hippocampal formation: 6.1"								NA	NA				"Cluster 14: Skeletal muscle - Muscle contraction"	"Cluster 33: Neurons - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 76: Oligodendrocyte precursor - Unknown function"																																			
AGBL4	"CCP6, FLJ14442"	ENSG00000186094	"AGBL carboxypeptidase 4"	Q5VU57	1	48532854-50023954	"Enzymes, Predicted intracellular proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 4.7;retina: 4.6"	"Group enriched"	"Detected in some"	5	"Excitatory neurons: 1191.7;Inhibitory neurons: 605.1"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA037994	Approved						NA	NA				"Cluster 17: Neuronal - Synaptic function"	"Cluster 53: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 34: Neurons - Neuronal signaling"	4			"HPA037994: AB_10673036"			"unprognostic (4.29e-1)"			"unprognostic (1.06e-1)"	"potential prognostic unfavorable (6.23e-4)"	"unprognostic (2.21e-1)"					"unprognostic (2.92e-2)"										"unprognostic (3.15e-1)"			"unprognostic (3.26e-2)"			"unprognostic (1.03e-1)"		
AGRP	"Agrt, ART, ASIP2"	ENSG00000159723	"Agouti related neuropeptide"	O00253	16	67482571-67483547	"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins"			"Disease variant, Obesity"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	7	"adrenal gland: 12.0;brain: 23.0;epididymis: 36.2"	"Group enriched"	"Detected in some"	4	"Distal tubular cells: 6.1;Hofbauer cells: 8.0;Leydig cells: 3.0;Macrophages: 5.4;Peritubular cells: 2.8"	"Cell type enhanced"	"Detected in single"		"choroid plexus epithelial cell: 1.4"	"Low cancer specificity"	"Detected in some"			"Region enriched"	"Detected in all"	30	"hypothalamus: 255.7"	"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in some"		"Leukemia: 1.1;lymphoma: 1.3"	"Lung - Macrophages"	"Region enriched"	"Detected in single"	16	"hypothalamus: 16.0"	"Region enhanced"	"Detected in single"		"hypothalamus: 2.0"	"HPA041017, HPA076241"	Enhanced	Supported	Approved	Vesicles	"Secreted in brain"	"No annotated function"	NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 58: Macrophages - Innate immune response"	1	Vesicles		"HPA041017: AB_10795498, HPA076241: "						"unprognostic (3.35e-2)"										"unprognostic (2.00e-2)"						"unprognostic (5.22e-2)"				"unprognostic (1.24e-1)"					
AIFM3	"AIFL, FLJ30473"	ENSG00000183773	"Apoptosis inducing factor mitochondria associated 3"	Q96NN9	22	20965108-20981360	"Predicted intracellular proteins"	"Apoptosis, Electron transport, Transport"	Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 50.1;choroid plexus: 140.7"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 87.3;Distal enterocytes: 88.8;Enteroendocrine cells: 24.9;Intestinal goblet cells: 26.2;Muller glia cells: 22.6;Paneth cells: 22.9;Undifferentiated cells: 26.3"	"Cell type enhanced"	"Detected in some"		"astrocyte: 15.4;choroid plexus epithelial cell: 13.1"	"Group enriched"	"Detected in many"	5	"Colon Adenocarcinoma (TCGA): 15.5;Rectum Adenocarcinoma (TCGA): 16.1"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	12	"classical monocyte: 1.1;intermediate monocyte: 3.0;myeloid DC: 1.9;non-classical monocyte: 1.9"	"Group enriched"	"Detected in many"	25	"dendritic cells: 1.9;monocytes: 3.0"	"Cancer enhanced"	"Detected in many"		"colorectal cancer: 11.4"	"Adipose subcutaneous - Macrophages, Colon - Colon enterocytes, Spleen - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA001271			Supported	Mitochondria			NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 5: Enterocytes - Absorption"		Mitochondria		"HPA001271: AB_1078114"	"unprognostic (4.46e-2)"		"unprognostic (4.41e-3)"		"unprognostic (1.66e-1)"	"unprognostic (1.19e-3)"	"unprognostic (1.51e-1)"	"unprognostic (2.18e-1)"				"unprognostic (1.01e-2)"			"unprognostic (2.07e-2)"	"unprognostic (1.14e-1)"		"unprognostic (6.14e-2)"			"unprognostic (2.03e-1)"	"unprognostic (1.58e-2)"	"unprognostic (5.32e-2)"		"unprognostic (4.73e-3)"	"unprognostic (1.07e-1)"					
AJAP1	"MOT8, SHREW-1, SHREW1"	ENSG00000196581	"Adherens junctions associated protein 1"	Q9UKB5	1	4654609-4792534	"Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 6.5"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 21.3;Cholangiocytes: 15.3;dendritic cells: 19.1;Excitatory neurons: 50.2;Inhibitory neurons: 50.3;Oligodendrocyte precursor cells: 19.3;Oligodendrocytes: 17.3"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in some"		"Kidney Renal Papillary Cell Carcinoma (TCGA): 5.3"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"eosinophil: 1.8"	"Lineage enhanced"	"Detected in single"		"granulocytes: 1.8"	"Cancer enhanced"	"Detected in many"		"Bone cancer: 7.8"	"Spleen - Fibroblast_2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 65: Neurons - Synaptic function"							"unprognostic (3.82e-2)"					"unprognostic (1.17e-2)"	"unprognostic (2.13e-1)"		"validated prognostic favorable (5.70e-11)"	"validated prognostic favorable (2.15e-5)"	"potential prognostic favorable (4.71e-4)"							"unprognostic (9.75e-2)"	"unprognostic (8.22e-2)"									"unprognostic (1.48e-1)"	
