Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
OTP		ENSG00000171540	"Orthopedia homeobox"	Q5XKR4	5	77628712-77638713	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	62	"brain: 12.9"	"Cell type enhanced"	"Detected in some"		"Spermatocytes: 2.4;Spermatogonia: 1.3"	"Group enriched"	"Detected in some"	9	"amygdala excitatory: 5.0;splatter: 3.9"	"Cancer enhanced"	"Detected in single"		"Glioblastoma Multiforme (TCGA): 3.0"	"Region enhanced"	"Detected in many"		"hypothalamus: 61.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	21	"lymphoma: 12.7;Rhabdoid: 6.1"		"Region enriched"	"Detected in many"	7	"hypothalamus: 20.0"	"Group enriched"	"Detected in some"	4	"basal ganglia: 8.4;hypothalamus: 22.7"	HPA059342	Enhanced	Supported	Approved	"Nucleoplasm,Nucleoli fibrillar center,Nuclear bodies"			NA	NA				"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 79: Spermatocytes & Spermatogonia - Spermatogenesis"	5	Nucleoplasm	"Nucleoli fibrillar center, Nuclear bodies"	"HPA059342: AB_2732635"							"unprognostic (2.63e-2)"	"potential prognostic unfavorable (1.55e-5)"																							
PCDH11Y	"PCDH22, PCDHY"	ENSG00000099715	"Protocadherin 11 Y-linked"	Q9BZA8	Y	5000226-5742224	"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.5"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 50.7;Horizontal cells: 20.8;Inhibitory neurons: 84.2;Microglial cells: 20.6;Oligodendrocyte precursor cells: 51.4"	"Cell type enhanced"	"Detected in many"		"eccentric medium spiny neuron: 571.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"prostate cancer: 1.1;Rhabdoid: 1.8"																	NA	NA				"Cluster 17: Neuronal - Synaptic function"	"Cluster 14: Neurons - Synaptic function"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 69: Neurons - Neuronal signaling"												"potential prognostic favorable (7.46e-4)"															"unprognostic (3.29e-2)"								
PCDHA5	"CNR6, CNRN6, CNRS6, CRNR6, PCDH-ALPHA5"	ENSG00000204965	"Protocadherin alpha 5"	Q9Y5H7	5	140821604-141012347	"Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	5	"brain: 2.8"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 1.1;Horizontal cells: 1.3"	"Low cell type specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Neuroblastoma: 1.6"	"Testis - Early spermatids"	"Low region specificity"	"Detected in many"							HPA044557	Approved		Approved	"Nuclear speckles,Plasma membrane,Mitochondria"			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 2: Neurons - Nucleosome"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"		"Plasma membrane"	"Nuclear speckles, Mitochondria"	"HPA044557: AB_10970597"			"unprognostic (9.17e-2)"					"unprognostic (1.18e-1)"							"unprognostic (6.41e-2)"																
PCDHA7	"CNR4, CNRS4, CRNR4"	ENSG00000204963	"Protocadherin alpha 7"	Q9UN72	5	140834248-141012347	"Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.7"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 1.9;Early spermatids: 1.3;Horizontal cells: 1.9;Melanocytes: 1.7;Spermatocytes: 1.5"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"																			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 2: Neurons - Nucleosome"	"Cluster 4: Non-specific - Transcription"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"							"unprognostic (1.79e-1)"					"unprognostic (4.00e-1)"							"unprognostic (1.53e-2)"																
PCDHA8		ENSG00000204962	"Protocadherin alpha 8"	Q9Y5H6	5	140841187-141012347	"Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.8"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Neuroblastoma: 1.3"										HPA044585	Uncertain						NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 35: Non-specific - DNA binding"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"				"HPA044585: AB_10793953"								"unprognostic (5.71e-2)"							"unprognostic (1.12e-1)"																
PLPP4	"DPPL2, PPAPDC1, PPAPDC1A"	ENSG00000203805	"Phospholipid phosphatase 4"	Q5VZY2	10	120457227-120592065	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid metabolism"	Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	4	"brain: 3.8"	"Cell type enriched"	"Detected in some"	5	"Oligodendrocyte precursor cells: 142.0"	"Cell type enhanced"	"Detected in many"		"oligodendrocyte precursor cell: 393.3;upper rhombic lip: 170.1"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Adipose visceral - Mesothelial cells, Colon - Colon enteroendocrine cells, Liver - Hepatic stellate cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA045188	Approved		Approved	"Nucleoplasm,Nucleoli,Nucleoli rim"			NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	29	"Nucleoli, Nucleoli rim"	Nucleoplasm	"HPA045188: AB_2679246"						"unprognostic (6.25e-2)"	"unprognostic (3.31e-1)"	"potential prognostic favorable (7.89e-4)"													"unprognostic (1.07e-2)"	"unprognostic (3.96e-3)"	"unprognostic (1.62e-2)"			"potential prognostic favorable (7.65e-4)"					
PNMA6F	PNMA6BL	ENSG00000225110	"PNMA family member 6F"	A0A0J9YX94	X	153317680-153321767	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	34	"brain: 24.3"	"Not detected"	"Not detected"			"Low cell type specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adrenal gland - Adrenal medulla cells"																NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 69: Neurons - Neuronal signaling"																																			
POU3F2	"BRN2, OCT7, OTF7, POUF3"	ENSG00000184486	"POU class 3 homeobox 2"	P20265	6	98834574-98839458	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	21	"brain: 11.6"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 73.4;Excitatory neurons: 8.5;Muller glia cells: 9.7;Oligodendrocyte precursor cells: 25.5;Oligodendrocytes: 12.5;Oocytes: 9.6"	"Cell type enhanced"	"Detected in many"		"astrocyte: 119.2;bergmann glia: 66.7;ependymal cell: 64.8"	"Cancer enriched"	"Detected in some"	10	"Glioblastoma Multiforme (TCGA): 27.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bone cancer: 28.3;skin cancer: 12.5"	"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA047081, HPA056261"		Approved	Supported	Nucleoplasm			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 47: Astrocytes - Unknown function"	10	Nucleoplasm		"HPA047081: , HPA056261: AB_2683081"							"unprognostic (3.75e-1)"	"unprognostic (1.20e-1)"								"unprognostic (3.05e-1)"	"unprognostic (1.33e-2)"										"unprognostic (6.85e-2)"				
POU6F2	RPF-1	ENSG00000106536	"POU class 6 homeobox 2"	P78424	7	38977909-39493095	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.6"	"Group enriched"	"Detected in some"	5	"Astrocytes: 122.6;Excitatory neurons: 455.6;Oligodendrocyte precursor cells: 268.8"	"Cell type enhanced"	"Detected in all"		"deep-layer corticothalamic and 6b: 415.1;deep-layer intratelencephalic: 421.4;oligodendrocyte precursor cell: 382.4"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"testis cancer: 1.4"	"Liver - Hepatocytes"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 53: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 34: Neurons - Neuronal signaling"	103																				"unprognostic (1.44e-1)"						"unprognostic (2.95e-3)"								
PPIAL4E		ENSG00000271567	"Peptidylprolyl isomerase A like 4E"	A0A075B759	1	144372875-144373634	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Isomerase, Rotamase"		"Evidence at transcript level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Tissue enriched"	"Detected in single"	5	"brain: 1.4"	"Not detected"	"Not detected"							"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												HPA058345	Uncertain						NA	NA				"Cluster 65: Cerebellum - Nervous system development"							"HPA058345: AB_2683685"																															
PPIAL4H		ENSG00000270339	"Peptidylprolyl isomerase A like 4H"	A0A075B767	1	146344006-146344765	"Enzymes, Predicted intracellular proteins"		"Isomerase, Rotamase"		"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.9"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												HPA058345	Uncertain						NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 15: Non-specific - Transcription"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 7: T-cells - T-cell receptor"				"HPA058345: AB_2683685"																															
PROKR2	"dJ680N4.3, GPR73b, GPR73L1, GPRg2, KAL3, PKR2"	ENSG00000101292	"Prokineticin receptor 2"	Q8NFJ6	20	5299218-5316954	"Disease related genes, G-protein coupled receptors, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"Disease variant, Hypogonadotropic hypogonadism, Kallmann syndrome"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.5"	"Cell type enhanced"	"Detected in some"		"Collecting duct cells: 1.9;Cone photoreceptor cells: 1.7;Early spermatids: 2.2;Granulosa cells: 2.8;Horizontal cells: 1.3"	"Cell type enhanced"	"Detected in some"		"deep-layer corticothalamic and 6b: 2.1;deep-layer intratelencephalic: 1.9"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"basophil: 1.2"	"Low lineage specificity"	"Detected in single"			"Not detected"	"Not detected"				"Region enhanced"	"Detected in many"		"olfactory bulb: 17.0"	"Low region specificity"	"Detected in all"			HPA047281	Uncertain						NA	NA				"Cluster 17: Neuronal - Synaptic function"	"Cluster 14: Neurons - Synaptic function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 18: Early spermatids - Unknown function"	5			"HPA047281: AB_10960057"																										"unprognostic (2.27e-2)"					
PTH2	TIP39	ENSG00000142538	"Parathyroid hormone 2"	Q96A98	19	49422419-49423441	"Predicted secreted proteins"		Neuropeptide		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.0"	"Cell type enriched"	"Detected in some"	4	"Oocytes: 13.2"	"Cell type enriched"	"Detected in some"	5	"thalamic excitatory: 13.5"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in many"		"midbrain: 7.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Rhabdoid: 1.0"		"Region enriched"	"Detected in single"	10	"olfactory bulb: 2.9"	"Low region specificity"	"Detected in all"								"Secreted in brain"	Neuropeptide	NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 2: Neurons - Nucleosome"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 44: Oocytes - Unknown function"	1																																		
RTP1	"MGC35450, Z3CXXC1"	ENSG00000175077	"Receptor transporter protein 1"	P59025	3	187197486-187201462	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.2"	"Cell type enriched"	"Detected in some"	5	"Oocytes: 22.1"	"Cell type enhanced"	"Detected in some"		"hippocampal CA4: 5.6"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	26	"Rhabdoid: 1.3;testis cancer: 3.7"	"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"												"unprognostic (4.10e-2)"																							
SCART1	CD163c-alpha	ENSG00000214279	"Scavenger receptor family member expressed on T cells 1"	Q4G0T1	10	133453928-133523558	"Predicted membrane proteins"	Immunity			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in single"			"Cell type enhanced"	"Detected in some"		"Bipolar cells: 4.6;Horizontal cells: 3.1;Rod photoreceptor cells: 5.7;Skeletal myocytes: 2.9"	"Cell type enriched"	"Detected in all"	4	"hippocampal dentate gyrus: 161.3"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"				"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA043101	Supported						NA	NA				"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 29: Forebrain - Mixed function"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"				"HPA043101: AB_10797026"								"potential prognostic favorable (2.87e-5)"													"unprognostic (2.57e-1)"		"unprognostic (2.06e-3)"								
SLC35D3	FRCL1	ENSG00000182747	"Solute carrier family 35 member D3"	Q5M8T2	6	136922301-136925660	"Predicted membrane proteins, Transporters"	"Sugar transport, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	6	"brain: 5.9"	"Cell type enhanced"	"Detected in some"		"Gastric mucus-secreting cells: 1.8;Horizontal cells: 1.9;Ionocytes: 1.1;Pancreatic endocrine cells: 1.7"	"Group enriched"	"Detected in some"	4	"eccentric medium spiny neuron: 7.4;medium spiny neuron: 3.9;thalamic excitatory: 4.2"	"Group enriched"	"Detected in some"	4	"Colon Adenocarcinoma (TCGA): 3.9;Rectum Adenocarcinoma (TCGA): 4.7;Stomach Adenocarcinoma (TCGA): 1.4"	"Group enriched"	"Detected in many"	7	"basal ganglia: 7.9;hypothalamus: 12.5;midbrain: 4.7;thalamus: 12.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"colorectal cancer: 2.8;Gastric cancer: 3.5;lung cancer: 3.3"	"Adrenal gland - Adrenal medulla cells, Colon - Colon enteroendocrine cells, Pancreas - Beta cells, Stomach - Gastric enteroendocrine cells"	"Group enriched"	"Detected in many"	5	"basal ganglia: 29.6;olfactory bulb: 8.5"	"Region enriched"	"Detected in many"	6	"basal ganglia: 26.5"	"HPA030431, HPA067497"	Uncertain		Approved	"Centriolar satellite"			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 57: Platelets - Hemostasis"	1	"Centriolar satellite"		"HPA030431: AB_10601716, HPA067497: AB_2685854"					"unprognostic (2.16e-1)"	"unprognostic (1.75e-2)"																			"unprognostic (1.54e-2)"	"unprognostic (2.06e-2)"		"unprognostic (6.90e-2)"			
SLC38A8		ENSG00000166558	"Solute carrier family 38 member 8"	A6NNN8	16	84009667-84042795	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Amino-acid transport, Transport"		"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.7"	"Cell type enriched"	"Detected in some"	10	"Oocytes: 169.8"	"Low cell type specificity"	"Detected in many"			"Group enriched"	"Detected in some"	8	"Kidney Chromophobe (TCGA): 3.8;Skin Cuteneous Melanoma (TCGA): 9.7"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"skin cancer: 1.0"	"Testis - Late spermatids"	"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"										NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 9: Skin cancer - Melanin biosynthesis"	"Cluster 44: Oocytes - Unknown function"														"unprognostic (2.82e-1)"																	"unprognostic (4.00e-2)"				
SLC6A3	"DAT, DAT1"	ENSG00000142319	"Solute carrier family 6 member 3"	Q01959	5	1392794-1445440	"Disease related genes, FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters"	"Neurotransmitter transport, Symport, Transport"		"Disease variant, Dystonia, FDA approved drug targets, Neurodegeneration, Parkinsonism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	119	"brain: 95.8"	"Cell type enhanced"	"Detected in some"		"granulocytes: 2.1;Lymphatic endothelial cells: 8.3;Oocytes: 8.8;Serous glandular cells: 2.2"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	16	"Kidney Renal Clear Cell Carcinoma (TCGA): 6.9"	"Region enriched"	"Detected in some"	28	"midbrain: 133.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	10	"Kidney cancer: 5.0"	"Adipose visceral - Mesothelial cells"	"Group enriched"	"Detected in many"	8	"midbrain: 80.6;thalamus: 29.0"	"Region enriched"	"Detected in some"	152	"midbrain: 393.2"	"HPA012763, HPA013602, CAB016249, CAB078172"	Enhanced	Supported	Approved	Vesicles			NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 54: Lymphatic endothelial cells - Lymph vessel development"	14	Vesicles		"CAB016249: AB_627402, CAB078172: AB_2665810, HPA012763: AB_2732405, HPA013602: AB_1847484"											"potential prognostic favorable (8.63e-6)"	"unprognostic (2.08e-3)"																			
SMIM43		ENSG00000164112	"Small integral membrane protein 43"	Q4W5P6	4	121758881-121765427	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Tissue enriched"	"Detected in single"	11	"brain: 4.8"	"Cell type enhanced"	"Detected in some"		"Cytotrophoblasts: 16.3;Excitatory neurons: 26.2;Inhibitory neurons: 8.6;Schwann cells: 7.8;Syncytiotrophoblasts: 6.0"	"Cell type enriched"	"Detected in many"	5	"deep-layer near-projecting: 177.8"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in many"		"cerebral cortex: 26.1"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Rhabdoid: 1.7"	"Colon - Enteric glia cells"	"Region enhanced"	"Detected in many"		"cerebral cortex: 24.8"	"Group enriched"	"Detected in many"	14	"cerebral cortex: 32.6;hippocampal formation: 26.3"								NA	NA					"Cluster 53: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"												"unprognostic (3.18e-1)"																							
